epoch,train_loss,eval_loss,eval_psnr,eval_ssim,eval_mae,eval_rmse,eval_zncc
1,13441.396066,0.0,0.0,0.0,,,
2,13307.18023,0.0,0.0,0.0,,,
3,22391.564395,0.0,0.0,0.0,,,
4,13047.703776,0.0,0.0,0.0,,,
5,10853.164375,0.0,0.0,0.0,,,
6,10090.216423,0.0,0.0,0.0,,,
7,9428.274006,0.0,0.0,0.0,,,
8,8935.209322,0.0,0.0,0.0,,,
9,8693.843401,0.0,0.0,0.0,,,
10,28380.989486,0.0,0.0,0.0,,,
11,20918.6945,0.0,0.0,0.0,,,
12,15471.33241,0.0,0.0,0.0,,,
13,12577.905396,0.0,0.0,0.0,,,
14,11144.177073,0.0,0.0,0.0,,,
15,10210.027997,0.0,0.0,0.0,,,
16,9807.108426,0.0,0.0,0.0,,,
17,9356.670107,0.0,0.0,0.0,,,
18,9039.844282,0.0,0.0,0.0,,,
19,8756.045089,0.0,0.0,0.0,,,
20,8519.190485,0.0,0.0,0.0,,,
21,8430.289291,0.0,0.0,0.0,,,
22,8295.508127,0.0,0.0,0.0,,,
23,8038.904875,0.0,0.0,0.0,,,
24,8053.020655,0.0,0.0,0.0,,,
25,7863.757208,0.0,0.0,0.0,,,
26,7852.668095,0.0,0.0,0.0,,,
27,7795.789436,0.0,0.0,0.0,,,
28,7935.68241,0.0,0.0,0.0,,,
29,7701.444979,0.0,0.0,0.0,,,
30,7561.562016,0.0,0.0,0.0,,,
31,7473.542984,0.0,0.0,0.0,,,
32,7450.59943,0.0,0.0,0.0,,,
33,7501.316274,0.0,0.0,0.0,,,
34,7244.786973,0.0,0.0,0.0,,,
35,7226.199585,0.0,0.0,0.0,,,
36,7474.277404,0.0,0.0,0.0,,,
37,7228.343894,0.0,0.0,0.0,,,
38,7195.528058,0.0,0.0,0.0,,,
39,7067.460723,0.0,0.0,0.0,,,
40,6939.429528,0.0,0.0,0.0,,,
41,6955.285363,0.0,0.0,0.0,,,
42,6900.824225,0.0,0.0,0.0,,,
43,7006.232519,0.0,0.0,0.0,,,
44,6998.878019,0.0,0.0,0.0,,,
45,6752.619987,0.0,0.0,0.0,,,
46,6749.281223,0.0,0.0,0.0,,,
47,6696.781844,0.0,0.0,0.0,,,
48,6729.497973,0.0,0.0,0.0,,,
49,6604.267934,0.0,0.0,0.0,,,
50,6802.307161,0.0,0.0,0.0,,,
51,6575.583632,0.0,0.0,0.0,,,
52,6477.567658,0.0,0.0,0.0,,,
53,6542.899029,0.0,0.0,0.0,,,
54,6424.587465,0.0,0.0,0.0,,,
55,6431.322877,0.0,0.0,0.0,,,
56,6500.771721,0.0,0.0,0.0,,,
57,6612.143348,0.0,0.0,0.0,,,
58,6433.558985,0.0,0.0,0.0,,,
59,6377.905331,0.0,0.0,0.0,,,
60,6349.422508,0.0,0.0,0.0,,,
61,6233.699635,0.0,0.0,0.0,,,
62,6160.06046,0.0,0.0,0.0,,,
63,6090.071872,0.0,0.0,0.0,,,
64,6281.857544,0.0,0.0,0.0,,,
65,6122.647638,0.0,0.0,0.0,,,
66,6266.47128,0.0,0.0,0.0,,,
67,6151.708002,0.0,0.0,0.0,,,
68,6105.69238,0.0,0.0,0.0,,,
69,5918.312131,0.0,0.0,0.0,,,
70,6102.468321,0.0,0.0,0.0,,,
71,5989.495621,0.0,0.0,0.0,,,
72,5971.604852,0.0,0.0,0.0,,,
73,5963.512838,0.0,0.0,0.0,,,
74,5979.422424,0.0,0.0,0.0,,,
75,5774.178019,0.0,0.0,0.0,,,
76,5928.542649,0.0,0.0,0.0,,,
77,5772.350639,0.0,0.0,0.0,,,
78,5824.602955,0.0,0.0,0.0,,,
79,5659.403169,0.0,0.0,0.0,,,
80,5790.75993,0.0,0.0,0.0,,,
81,5698.472083,0.0,0.0,0.0,,,
82,5844.42948,0.0,0.0,0.0,,,
83,13613.038629,0.0,0.0,0.0,,,
84,34062.865234,15901.446378,-41.6658,0.4736,,,
85,34671.679688,15748.784535,-41.622,0.4534,,,
86,34326.339844,15174.764205,-41.4548,0.422,,,
87,30775.900879,11485.475453,-40.2074,0.4176,,,
88,32387.003906,10957.453236,-40.0023,0.415,,,
89,27272.052734,12335.322754,-40.5302,0.4079,,,
90,27043.38623,11920.549605,-40.3792,0.4156,,,
91,27517.064941,9840.348633,-39.5385,0.4231,,,
92,28454.881836,7336.81614,-38.3247,0.4247,,,
93,28770.472656,7119.062789,-38.2081,0.4174,,,
94,27973.29541,8398.474854,-38.8708,0.4255,,,
95,37078.143066,15887.186612,-41.6618,0.5155,,,
96,34669.689453,15932.247159,-41.6747,0.4844,,,
97,34768.73877,15893.78489,-41.6639,0.5301,,,
98,32905.611328,15540.761941,-41.5628,0.4924,,,
99,32874.416016,12822.186035,-40.7018,0.4548,,,
100,29625.868652,11626.393865,-40.2667,0.4403,,,
101,28250.060547,13358.770375,-40.8872,0.4219,,,
102,27844.134277,12765.597834,-40.686,0.4215,,,
103,37283.670898,15920.280318,-41.6713,0.5322,,,
104,32487.072266,15830.911621,-41.646,0.5192,,,
105,28206.853833,3642.757674,-34.0775,0.3715,,,
106,33708.500488,15885.687988,-41.6613,0.5042,,,
107,33708.5,15885.693803,-41.6613,0.5041,,,
108,36502.745117,15819.171076,-41.6423,0.5023,,,
109,35286.740234,15671.658469,-41.6004,0.4496,,,
110,34714.479492,14959.362749,-41.3937,0.4064,,,
111,29763.498535,11557.027832,-40.2441,0.3885,,,
112,26030.086914,11675.453658,-40.2925,0.3872,,,
